Location,ZIPCODE,State,District
Ramwadi,400002,Maharashtra,Mumbai
Ranade Road,400028,Maharashtra,Mumbai
Rani Sati marg,400097,Maharashtra,Mumbai
Reay Road,400033,Maharashtra,Mumbai
S R p f camp,400060,Maharashtra,Mumbai
S Savarkar marg,400028,Maharashtra,Mumbai
S V marg,400007,Maharashtra,Mumbai
S. c. court,400002,Maharashtra,Mumbai
S. k.nagar,400066,Maharashtra,Mumbai
Sahar P & t colony,400099,Maharashtra,Mumbai
Sahargaon,400099,Maharashtra,Mumbai
Santacruz Central,400054,Maharashtra,Mumbai
Santacruz P&t colony,400029,Maharashtra,Mumbai
Santacruz(east),400055,Maharashtra,Mumbai
Santacruz(west),400054,Maharashtra,Mumbai
Secretariate,400032,Maharashtra,Mumbai
Seepz,400096,Maharashtra,Mumbai
Sewri,400015,Maharashtra,Mumbai
Sharma Estate,400063,Maharashtra,Mumbai
Shivaji Park,400028,Maharashtra,Mumbai
Shroff Mahajan,400002,Maharashtra,Mumbai
Stock Exchange,400001,Maharashtra,Mumbai
Tajmahal,400001,Maharashtra,Mumbai
Tank Road,400033,Maharashtra,Mumbai
Tardeo,400007,Maharashtra,Mumbai
Thakurdwar,400002,Maharashtra,Mumbai
Town Hall,400001,Maharashtra,Mumbai
Tulsiwadi,400034,Maharashtra,Mumbai
V J b udyan,400027,Maharashtra,Mumbai
V K bhavan,400010,Maharashtra,Mumbai
V.P. road,400052,Maharashtra,Mumbai
V.W.t.c.,400005,Maharashtra,Mumbai
Vakola,400055,Maharashtra,Mumbai
Vesava,400061,Maharashtra,Mumbai
Vidyanagari,400098,Maharashtra,Mumbai
Vileeparle (east),400057,Maharashtra,Mumbai
Vileparle Railway station,400057,Maharashtra,Mumbai
Vileparle(west),400056,Maharashtra,Mumbai
Wadala,400031,Maharashtra,Mumbai
Wadala Rs,400031,Maharashtra,Mumbai
Worli,400018,Maharashtra,Mumbai
Worli Colony,400030,Maharashtra,Mumbai
Worli Naka,400018,Maharashtra,Mumbai
Worli Police camp,400030,Maharashtra,Mumbai
Worli Sea face,400030,Maharashtra,Mumbai
